	id_directeur	liste_films	directeur
1375	nm0415207	[1667, 5139, 405931, 226109, 338273]	Luc Jacquet
1376	nm0415245	[44527, 72355, 72356, 77939, 78293, 99215, 99579, 283701, 320003]	Benoît Jacquot
1377	nm0415658	[27127, 331114]	Olivier Jahan
1378	nm0415714	[49223]	Thomas Jahn
1379	nm0415852	[413637, 79805]	Jayaraj
1380	nm0416036	[15208]	Juraj Jakubisko
1381	nm0417541	[45572]	Jang Sun-woo
1382	nm0418450	[10697, 11399, 15436, 486521, 160564]	Agnès Jaoui
1383	nm0418452	[206515]	Marie-Jaoul de Poncheville
1384	nm0418621	[79070, 61304]	Frédéric Jardin
1385	nm0418659	[54714]	Eugene Jarecki
1386	nm0419413	[162654]	Florence Jaugey
1387	nm0419478	[64843]	Pierre Javaux
1388	nm0419680	[81078, 82727, 117085]	Jayant Paranji
1389	nm0419829	[34655, 205048]	Olivier Jean-Marie
1390	nm0419894	[15713, 398920, 375895]	Lucien Jean-Baptiste
1391	nm0420941	[464052, 297762]	Patty Jenkins
1392	nm0421314	[10180, 663870]	Anders Thomas Jensen
1393	nm0421716	[19306]	Tomas Villum Jensen
1394	nm0421776	[10555]	Vicky Jenson
1395	nm0421817	[382118, 26859]	Soo-il Jeon
1396	nm0422367	[487616]	Lou Jeunet
1397	nm0422484	[41488]	Norman Jewison
1398	nm0422552	[375199, 28805]	Prakash Jha
1399	nm0422605	[441393, 41292, 80243, 80427, 187022, 314388]	Jia Zhang-ke
1400	nm0422638	[503235, 51533, 312408]	Wen Jiang
1401	nm0422642	[931405]	Xiaozhen Jiang
1402	nm0423143	[39019]	Takanori Jinnai
1403	nm0423524	[137698, 325385]	Alejandro Jodorowsky
1404	nm0423626	[62728, 204922]	Rowan Joffe
1405	nm0423646	[7093]	Roland Joffé
1406	nm0423804	[11196]	Jannik Johansen
1407	nm0424800	[5820, 9257]	Clark Johnson
1408	nm0425364	[14075, 19988, 1093994, 877013, 843633, 660521, 647785, 534490, 513691, 455236, 449985, 437291, 35631, 308149]	Jesse V. Johnson
1409	nm0425756	[1250, 9480, 77663]	Mark Steven Johnson
1410	nm0425894	[484238]	Niall Johnson
1411	nm0426059	[59967, 181808]	Rian Johnson
1412	nm0426333	[14411]	Tim Johnson
1413	nm0426565	[988233]	Chris Johnston
1414	nm0427136	[2065, 589230, 457181, 51860, 67739, 142096, 331113]	Pierre Jolivet
1415	nm0429963	[10544]	Gregor Jordan
1416	nm0430107	[677179]	Michael B. Jordan
1417	nm0430307	[8928, 633949, 128122, 62111, 96389]	Khalil Joreige
1418	nm0430485	[312927]	Lal Jose
1419	nm0430782	[845343, 620271, 350841, 84967, 152620]	Joshiy
1420	nm0431185	[54521]	Thierry Jousse
1421	nm0431221	[467548]	Samuel Jouy
1422	nm0431956	[13741, 450179]	Eric Judor
1423	nm0432040	[2594, 756935, 64357]	Gérard Jugnot
1424	nm0432369	[534426]	Philippe Jullien
1425	nm0432380	[54662]	Miranda July
1426	nm0432601	[656156]	Jung Woo-sung
1427	nm0432866	[485683]	Boris Jurjasevic
1428	nm0433347	[279410]	Audrius Juzenas
1429	nm0433588	[63907]	Óskar Jónasson
1430	nm0433893	[17888, 657170, 389952, 55951, 69417, 206301, 216676, 300425]	K.S. Ravikumar
1431	nm0433895	[20049, 533885, 63654, 139662]	K.V. Anand
1432	nm0434153	[62688]	Roman Kachanov
1433	nm0434633	[80741]	Shigenori Kageyama
1434	nm0434806	[505940, 499086, 25500, 33918, 56371, 82550, 85546, 288587]	Cédric Kahn
1435	nm0435050	[862618, 657997, 511378, 360511, 193932, 230183, 240383, 278056]	Shaji Kailas
1436	nm0435091	[23729]	Kenneth Kainz
1437	nm0435788	[10822]	Tom Kalin
1438	nm0436284	[13201]	Scott Kalvert
1439	nm0436302	[281954]	Pawan Kalyan
1440	nm0436780	[13648, 133121, 333447]	Makoto Kamiya
1441	nm0436784	[965244, 127544, 333447]	Kenji Kamiyama
1442	nm0437246	[41616]	Adam Kane
1443	nm0437480	[573987, 402339, 38956, 88568, 137649, 168608, 241697]	Osamu Kaneda
1444	nm0437524	[496349]	Shingo Kaneko
1445	nm0437526	[5890, 15767, 36243, 45474, 278558]	Shûsuke Kaneko
1446	nm0437625	[11658, 94047]	Kang Je-kyu
1447	nm0437652	[19644, 32213, 33171, 65337, 180651]	Kang Woo-suk
1448	nm0437654	[661668]	Young Man Kang
1449	nm0437747	[50581]	Nirattisai Kaljareuk
1450	nm0438029	[276846]	Raj Kanwar
1451	nm0438090	[8471]	Asif Kapadia
1452	nm0438500	[964985]	Ravi Kapoor
1453	nm0438846	[91584]	Menelaos Karamaghiolis
1454	nm0438989	[19419]	Larry Karaszewski
1455	nm0439137	[111903]	William Karel
1456	nm0439748	[67380, 72380]	Sam Karmann
1457	nm0440458	[353486]	Jake Kasdan
1458	nm0440604	[117361, 117691]	Anurag Kashyap
1459	nm0440913	[9381, 60670, 76609]	Mathieu Kassovitz
1460	nm0440948	[83727]	Jeremy Kasten
1461	nm0440994	[172390]	Jo Kastner
1462	nm0441420	[428862]	Hajime Katoki
1463	nm0442241	[13572]	Philip Kaufman
1464	nm0442287	[541768, 399894, 58626, 66193, 122924]	William Kaufman
1465	nm0442454	[1379, 7294, 36108, 73532]	Aki Kaurismäki
1466	nm0442455	[329829]	Mika Kaurismäki
1467	nm0442479	[56969]	Satish Kaushik
1468	nm0442646	[7517]	Gregg Kavet
1469	nm0442828	[496349, 60964]	Shôji Kawamori
1470	nm0442896	[560470, 407546, 84645]	Minoru Kawasaki
1471	nm0442905	[444428, 265193, 319373]	Naomi Kawase
1472	nm0443181	[10461]	Stephen Kay
1473	nm0444244	[1549, 8280, 56405, 72480, 152584, 337676]	Abdellatif Kechiche
1474	nm0444245	[110185]	Robert Kechichian
1475	nm0444870	[916719, 825997]	Jon Keeyes
1476	nm0446819	[4723]	Richard Kelly
1477	nm0447097	[142208]	Todd Kellstein
1478	nm0448377	[16128]	Wayne Kennedy
1479	nm0448588	[229979]	J.M. Kenny
1480	nm0448831	[826056]	Randy Kent
1481	nm0448900	[92182]	Chris Kentis
1482	nm0448976	[450050]	Bálint Kenyeres
1483	nm0449316	[6391]	Etgar Keret
1484	nm0450194	[6641]	Alek Keshishian
1485	nm0450646	[40025, 177499]	Kwok-Man Keung
1486	nm0450952	[337358]	Mama Keïta
1487	nm0451076	[25594, 103620]	Franck Khalfoun
1488	nm0451155	[594669, 496316, 336735]	Ahmed Khan
1489	nm0451170	[147405]	Arbaaz Khan
1490	nm0451273	[83722]	Mustapha Khan
1491	nm0451326	[277751]	Sohail Khan
1492	nm0451592	[45882]	Nacer Khemir
1493	nm0451799	[500890]	Eric Khoo
1494	nm0451867	[42952]	Vladimir Khotinenko
1495	nm0451884	[12085]	Callie Khouri
1496	nm0452002	[558232]	Konstantin Khudyakov
1497	nm0452022	[58046]	Kireet Khurana
1498	nm0452102	[377269, 36108, 48303, 102001]	Abbas Kiarostami
1499	nm0452161	[788943]	Sandrine Kiberlain
1500	nm0452319	[9801]	Beeban Kidron
1501	nm0452696	[53997]	Yoshiji Kigami
1502	nm0453262	[443873]	Jaak Kilmi
1503	nm0453518	[11344, 15067, 467824, 363579, 76640]	Kim Jee-woon
1504	nm0453657	[38983]	Sang-Jin Kim
1505	nm0453708	[332834]	Kim Tai-sik
1506	nm0453720	[13512]	Kim Ui-seok
1507	nm0453754	[14763, 16404]	Young-jun Kim
1508	nm0454835	[24832]	Jeff King
1509	nm0455203	[459258]	Rob W. King
1510	nm0455767	[28704]	Terry Kinney
1511	nm0456239	[456781]	Robert Kirbyson
1512	nm0456928	[392003]	Gayle Kirschenbaum
1513	nm0457048	[146608]	Mike Kirton
1514	nm0457565	[5842, 5844, 5845, 5846, 5889, 15767, 996727, 737568, 44055, 241868]	Ryûhei Kitamura
1515	nm0458251	[1555, 1826, 8279, 11958, 771077, 583268, 432087, 58043, 206408]	Cédric Klapisch
1516	nm0458517	[278778]	Mitchell Klebanoff
1517	nm0459996	[230222]	Reinhard Klooss
1518	nm0460120	[60531]	Nicolas Klotz
1519	nm0460285	[323867]	Alexander Klymko
1520	nm0461895	[17808]	Danny Ko
1521	nm0462046	[20986]	Osamu Kobayashi
1522	nm0462076	[317442]	Tsuneo Kobayashi
1523	nm0462895	[49526]	David Koepp
1524	nm0462988	[366672]	Mark Koetsier
1525	nm0463156	[622971, 356202, 82409]	Sandra Kogut
1526	nm0463315	[451396]	Kuku Kohli
1527	nm0463316	[8453]	Kunal Kohli
1528	nm0463674	[498419, 154736]	Vincent Kok
1529	nm0463862	[463644]	Kiran Kolarov
1530	nm0464115	[5259]	Eran Kolirin
1531	nm0464180	[16705, 29079, 49145, 49453, 220515]	Amos Kollek
1532	nm0464383	[36401]	Jan Jakub Kolski
1533	nm0464815	[29764, 118717]	Kazuya Konaka
1534	nm0464846	[36108, 49852, 72996]	Andrey Konchalovskiy
1535	nm0465298	[47108]	Cathy Konrad
1536	nm0465551	[324560]	Martin Koolhoven
1537	nm0465617	[63996]	Will Koopman
1538	nm0466153	[20525, 517468, 315846]	Hirokazu Koreeda
1539	nm0466349	[10989, 12645, 760741, 27217, 77866, 136400]	Baltasar Kormákur
1540	nm0467017	[49680]	Dover Koshashvili
1541	nm0467726	[214215]	Philippe Kotlarski
1542	nm0467811	[514886, 50618]	Aleksandr Kott
1543	nm0468007	[8827, 601297, 418635, 38984, 50621]	Jan Kounen
1544	nm0469694	[7304, 199420]	Wayne Kramer
1545	nm0469813	[54271]	Tony Krantz
1546	nm0470081	[168429]	Lars Kraume
1547	nm0470323	[22076]	Ron Krauss
1548	nm0470443	[2110, 2332, 2334, 2335, 13732, 37559, 78158]	Gérard Krawczyk
1549	nm0470483	[413786]	Sabine Krayenbühl
1550	nm0471086	[4627]	Marco Kreuzpaintner
1551	nm0471452	[66225, 66243]	Suresh Krishna
1552	nm0472196	[453277]	Sonia Kronlund
1553	nm0472425	[543033]	Milorad Krstic
1554	nm0472646	[261874]	Miriam Kruishoop
1555	nm0473095	[79997]	Waldemar Krzystek
1556	nm0473234	[179404]	Jan Krüger
1557	nm0473329	[500922]	Shawn Ku
1558	nm0473549	[113082, 118412, 144288]	Toshiyuki Kubooka
1559	nm0474398	[18673]	Nagesh Kukunoor
1560	nm0474747	[452706, 151285]	Kazuyoshi Kumakiri
1561	nm0474844	[491916]	Padam Kumar
1562	nm0474955	[13493]	Roger Kumble
1563	nm0475371	[27306]	Jian Hong Kuo
1564	nm0475905	[374466, 250278, 334991]	Kiyoshi Kurosawa
1565	nm0476064	[282035]	Alex Kurtzman
1566	nm0476123	[14555, 500902, 72363, 199977]	Diane Kurys
1567	nm0476201	[8202, 471507]	Karyn Kusama
1568	nm0477035	[4108, 9053, 15136]	Corey Yuen
1569	nm0477041	[19635, 478160, 32168, 49093, 49095, 238010]	Kwak Kyung-taek
1570	nm0477213	[820099, 452910, 42380, 170657, 247954]	Chi-Kin Kwok
1571	nm0477456	[16138]	Su-chang Kong
1572	nm0477597	[5178]	Dagur Kári
1573	nm0477823	[70768]	Ulrich Köhler
1574	nm0478172	[13517]	Karsten Kiilerich
1575	nm0478194	[429977]	Torsten Künstler
1576	nm0478418	[27069, 212721]	Bruce La Bruce
1577	nm0478713	[66667, 89828]	Jean-Claude La Marre
1578	nm0478799	[582206, 112198]	Alexandre de La Patellière
1579	nm0479738	[15329, 78279]	Jeanne Labrune
1580	nm0480690	[54448]	Pascal Laëthier
1581	nm0480768	[579898, 481762, 391700, 26691]	Gabriel Julien-Laferrière
1582	nm0480831	[499726]	Axelle Laffont
1583	nm0480850	[615684]	Laurent Lafitte
1584	nm0481044	[8827]	Laurent Lafran
1585	nm0481418	[2266]	Richard LaGravenese
1586	nm0481451	[22568, 575557, 413927, 98162]	Jean-François Laguionie
1587	nm0481709	[462605]	Leon Lai
1588	nm0481866	[653775, 84639, 116377]	Marion Laine
1589	nm0482232	[20742]	Apoorva Lakhia
1590	nm0482542	[54865]	Sophie Laloy
1591	nm0482592	[17082, 17457, 18060, 928123, 613658, 460555, 415214, 38264, 48417, 83706, 90808, 125708, 213015, 339562]	Dante Lam
1592	nm0482595	[814785, 588073, 506492, 367195]	David Lam
1593	nm0482681	[10596, 19277, 427433, 32151, 338421]	Ringo Lam
1594	nm0482774	[211919]	Joel Lamangan
1595	nm0483575	[24143]	Esmé Lammers
1596	nm0483770	[319348]	Christophe Lamotte
1597	nm0486188	[107039]	Rémi Lange
1598	nm0486627	[2395, 139156]	Thomas Langmann
1599	nm0486994	[157613, 187252]	Vincent Lannoo
1600	nm0487166	[81857, 254320]	Yorgos Lanthimos
1601	nm0487458	[74681]	Jérôme Laperrousaz
1602	nm0488477	[781478, 613583]	Michèle Laroque
1603	nm0488623	[15617, 15702, 657195, 359805, 51866, 214093]	Arnaud Larrieu
1604	nm0488626	[15617, 15702, 657195, 359805, 51866, 214093]	Jean-Marie Larrieu
1605	nm0489309	[13748, 19955, 20106, 958635, 605734, 51071, 304410]	Éric Lartigau
1606	nm0489453	[20210]	Casey La Scala
1607	nm0490487	[10775, 11647, 14310, 16411, 18426, 35117, 47854, 48944, 167449, 286709]	Wai Keung Lau
1608	nm0490582	[92182]	Laura Lau
1609	nm0490702	[49400]	Chantal Lauby
1610	nm0490736	[396899]	Sébastien Laudenbach
1611	nm0491222	[64074]	Emmanuel Laurent
1612	nm0491259	[680531, 462146, 76532, 270400]	Mélanie Laurent
1613	nm0491708	[926516, 723294, 574861, 437425, 383869, 27614, 75198, 250349]	Eric Lavaine
1614	nm0491774	[64362]	Yves Lavandier
1615	nm0492305	[373067, 127849, 129850]	Chi-Leung Law
1616	nm0492315	[25655, 30942, 34777]	Dennis Law
1617	nm0492408	[45303, 48968, 72650, 105001, 254672]	Wing-Cheong Law
1618	nm0492620	[694919]	Andrew Lawrence
1619	nm0493459	[431399]	Damien Lay
1620	nm0494066	[284051, 62111]	Isild Le Besco
1621	nm0494069	[14720, 664177, 71157, 329805]	Maïwenn
1622	nm0494104	[661804, 446045, 58928]	Gabriel Le Bomin
1623	nm0494303	[62111]	Yann Le Gal
1624	nm0494355	[796891, 492550, 54157, 57243, 156236, 340361]	Philippe Le Guay
1625	nm0494504	[944303, 56424, 71577, 270342]	Anne Le Ny
1626	nm0494557	[387667, 83238]	Serge Le Péron
1627	nm0494558	[277230]	Didier Le Pêcheur
1628	nm0494569	[14406]	Eric Le Roch
1629	nm0495536	[13334, 380111]	Nikolay Lebedev
1630	nm0495620	[48837]	Scott Leberecht
1631	nm0496293	[48508]	Ounie Lecomte
1632	nm0496312	[4516, 21200, 22016, 752564, 48217, 51869, 74795, 76547, 118293, 214081, 298614]	Patrice Leconte
1633	nm0496622	[78559]	Mathias Ledoux
1634	nm0496752	[14538, 18816, 601493, 504071, 411442, 34179, 61187, 81344]	Daniel Lee
1635	nm0496863	[18150]	Benson Lee
1636	nm0496969	[47909]	Lee Chang-dong
1637	nm0497174	[16364]	Dong-Wook Lee
1638	nm0497398	[19529]	Lee Ho-jae
1639	nm0497416	[81460]	Hyun-seung Lee
1640	nm0497460	[1027464, 621464, 440085, 85321]	James Lee
1641	nm0497565	[407887]	John H. Lee
1642	nm0497631	[727340]	Lee Jung-jae
1643	nm0497642	[63914]	Kang-sheng Lee
1644	nm0497682	[580626, 336277]	Khan Lee
1645	nm0497702	[41853]	Kwang-hoon Lee
1646	nm0497929	[40230]	Mu-yeong Lee
1647	nm0497934	[26138]	Lee Myung-se
1648	nm0498108	[89119]	Robert Lee
1649	nm0498212	[141819]	Sang-il Lee
1650	nm0498213	[120247]	Sang-woo Lee
1651	nm0498898	[106685]	Philippe Lefebvre
1652	nm0498991	[9703]	Doug Lefler
1653	nm0499448	[18465, 362571, 60030, 68713]	Gilles Legrand
1654	nm0499488	[451657]	Xavier Legrand
1655	nm0499724	[2752]	Michael Lehmann
1656	nm0500610	[718930, 384018, 383498, 341013]	David Leitch
1657	nm0500976	[20200, 484482]	Gilles Lellouche
1658	nm0500977	[93847, 155887]	Philippe Lellouche
1659	nm0500988	[1926, 14949, 874773, 582887, 426460, 352025, 36108, 50350, 53456, 76396, 262117]	Claude Lelouch
1660	nm0501256	[498402, 428756, 32390, 225564]	Valérie Lemercier
1661	nm0501335	[50543]	Jean Lemire
1662	nm0501341	[16225]	Michel Lemire
1663	nm0501359	[54439]	Darren Lemke
1664	nm0501548	[531735, 136294]	Arnaud Lemort
1665	nm0501590	[534426]	Jean-Pierre Lemouland
1666	nm0502133	[950849, 444291, 309360]	Blandine Lenoir
1667	nm0503109	[17635]	Paris Leonti
1668	nm0503767	[411926]	Jeff Leroy
1669	nm0504264	[491433]	Norman Lesperance
1670	nm0504267	[590017, 395763, 102969, 245775]	Jalil Lespert
1671	nm0504642	[1724, 4108, 9335, 10027, 18823, 785985, 267193]	Louis Leterrier
1672	nm0504654	[12456]	Jørgen Leth
1673	nm0504802	[37632]	Sheldon Lettich
1674	nm0504945	[495168, 117522]	Hung-Wah Leung
1675	nm0505152	[23172]	Brian Levant
1676	nm0505230	[199341]	Jeremy Leven
1677	nm0505946	[539681]	Sam J. Levine
1678	nm0506312	[180688]	Abe Levy
1679	nm0506518	[438348, 40851, 125623]	Lorraine Lévy
1680	nm0506613	[1593, 18360, 35056, 39254]	Shawn Levy
1681	nm0506699	[531820]	James Lew
1682	nm0506703	[958275, 24528]	Jeff Lew
1683	nm0507425	[643586, 69113]	Kevin Lewis
1684	nm0507913	[613368]	Katia Lewkowicz
1685	nm0508025	[1013860, 682377]	Paul Leyden
1686	nm0508277	[737411]	Víctor García León
1687	nm0508387	[26010]	Chung-Chi Li
1688	nm0509028	[12138]	Demian Lichtenstein
1689	nm0509448	[44943, 98566]	Jonathan Liebesman
1690	nm0509504	[160821]	Riton Liebman
1691	nm0509852	[12812, 27099, 56263, 126331]	Sébastien Lifshitz
1692	nm0510233	[16277, 165420]	Jean-Paul Lilienfeld
1693	nm0510731	[787, 2501, 8247, 137113, 337170]	Doug Liman
1694	nm0510816	[60015]	Jean-Pierre Limosin
1695	nm0510862	[44704]	Cheng-sheng Lin
1696	nm0510912	[9615, 13275, 13804, 385128, 51497, 82992, 188927]	Justin Lin
1697	nm0511393	[21013]	Mats Lindberg
1698	nm0512071	[534426]	Vincent Lindon
1699	nm0512647	[483368]	Craig Lines
1700	nm0513371	[1254, 2299, 15712, 967545, 534426, 382503, 71179, 78210]	Philippe Lioret
1701	nm0513554	[293771]	Zach Lipovsky
1702	nm0514247	[69351]	David Lister
1703	nm0514546	[11237, 42194]	Dwight H. Little
1704	nm0514626	[94581]	Mark Anthony Little
1705	nm0514662	[10105, 348811, 31451, 133558]	Ryan Little
1706	nm0514897	[99333]	Bingjian Liu
1707	nm0514906	[39751]	Chia-Liang Liu
1708	nm0514921	[607807]	Fendou Liu
1709	nm0514956	[870219]	John Liu
1710	nm0515005	[732450, 537059, 487672, 471474, 408648, 382322]	Sam Liu
1711	nm0515491	[136572]	Carlo Lizzani
1712	nm0516360	[1116, 1926, 18898, 522369, 374473, 36108, 37691, 59065, 103747, 262958]	Ken Loach
1713	nm0516384	[55134]	Terry Loane
1714	nm0517318	[29561]	Tony Loeser
1715	nm0517517	[274862]	Bob Logan
1716	nm0517768	[447665]	Dimitri Logothetis
1717	nm0518070	[416249, 137409, 315509]	Kim-Ching Luk
1718	nm0518123	[13979]	Julia Loktev
1719	nm0518363	[29935]	Francisco J. Lombardi
1720	nm0518644	[9754, 11823]	Richard Loncraine
1721	nm0519594	[286709]	Andrew Loo
1722	nm0520485	[7443]	Peter Lord
1723	nm0520488	[64688, 187017]	Phil Lord
1724	nm0520569	[470294]	Olivier Lorelle
1725	nm0520749	[634528]	Robert Lorenz
1726	nm0520875	[309037]	Nicanor Loreti
1727	nm0520931	[184931]	Marceline Loridan Ivens
1728	nm0521411	[12449, 40188]	Alfred Lot
1729	nm0521601	[497834, 34561, 94219, 103875, 117646, 256106]	Ye Lou
1730	nm0521803	[655302]	Aku Louhimies
1731	nm0522151	[330333]	Olivier Loustau
1732	nm0522177	[235425]	Marc-Olivier Louveau
1733	nm0522393	[5145, 9911, 367551, 116613]	Nick Love
1734	nm0522612	[61167]	Anthony Lover
1735	nm0523276	[177699]	Declan Lowney
1736	nm0523323	[427689]	Harvey Lowry
1737	nm0523363	[359785, 109128]	Richard Lowry
1738	nm0523665	[519187, 442947, 284051]	Sergey Loznitsa
1739	nm0523821	[14224, 31857]	Olaf Lubaszenko
1740	nm0524516	[9789, 46920, 209353]	Daniele Luchetti
1741	nm0525141	[22907, 50380]	John Luessenhop
1742	nm0525659	[37821, 115348]	Robert Luketic
1743	nm0525782	[449503]	Peter Malota
1744	nm0526199	[598, 24553]	Kátia Lund
1745	nm0526732	[512954, 39088, 91520]	Pavel Lungin
1746	nm0527109	[2100, 531876, 25212]	Rod Lurie
1747	nm0527261	[10577, 47327]	Patrick Lussier
1748	nm0527453	[669696, 441894, 127531, 208540]	Milan Luthria
1749	nm0527852	[15833, 18461, 458807, 135281]	Noémie Lvovsky
1750	nm0528454	[121983]	Shola Lynch
1751	nm0528718	[44147]	Jonathan Lynn
1752	nm0528963	[479753]	Nick Lyon
1753	nm0528969	[622942]	Philippe Lyon
1754	nm0529615	[538064]	Jorge Léon
1755	nm0529616	[480518, 354430, 316339]	Pierre Léon
1756	nm0529737	[933100]	Sophie Lévy
1757	nm0530579	[20682]	Pontus Löwenhielm
1758	nm0530756	[78248]	Roger Gnoan M'Bala
1759	nm0530789	[209380]	Aziz M. Osman
1760	nm0530865	[45504]	Joe Ma
1761	nm0530975	[19058]	Dick Maas
1762	nm0531817	[11194, 16995, 57499, 162215]	Kevin Macdonald
1763	nm0533145	[64858]	David Mackay
1764	nm0533284	[237, 454227]	David Mackenzie
1765	nm0533564	[49814]	Gillies MacKinnon
1766	nm0533691	[718789]	Angus MacLane
1767	nm0534856	[607145]	Madhavan
1768	nm0535234	[8883]	Ole Christian Madsen
1769	nm0535340	[75629, 283566]	Mahiro Maeda
1770	nm0535351	[62423]	Tetsu Maeda
1771	nm0535706	[631939]	Jose Magan
1772	nm0536057	[136739]	Mike Magidson
1773	nm0536251	[49510]	Franck Magnier
1774	nm0536632	[95610]	Sharon Maguire
1775	nm0536705	[270417]	Ananth Mahadevan
1776	nm0537361	[441503]	Kenzô Maihara
1777	nm0537611	[163733]	Géraldine Maillet
1778	nm0537626	[8648, 115523]	Jacques Maillot
1779	nm0537734	[364433]	Gabriele Mainetti
1780	nm0537923	[780382, 615821, 498248]	Gilles de Maistre
1781	nm0538320	[10775, 11647, 14310, 16411, 445224, 45410, 62977, 74639, 262137]	Alan Mak
1782	nm0538532	[28171, 56952, 65410, 289174]	Mohsen Makhmalbaf
1783	nm0538533	[1926, 43969, 129277]	Samira Makhmalbaf
1784	nm0538733	[36640]	Max Makowski
1785	nm0538855	[26752]	Horatiu Malaele
1786	nm0538955	[431014]	Mohamed Malas
1787	nm0538977	[56623]	Jacques Malaterre
1788	nm0539495	[545339]	Naresh Malhotra
1789	nm0539803	[11650, 53000]	Laurence Malkin
1790	nm0540443	[33875]	Jim Malone
1791	nm0540468	[20053]	Mark Malone
1792	nm0540962	[600479, 204436]	Mathias Malzieu
1793	nm0541391	[16405, 79001]	Milcho Manchevski
1794	nm0541703	[44032]	Artie Mandelberg
1795	nm0542023	[823999, 593395, 82805]	Antonio Manetti
1796	nm0542029	[823999, 593395, 82805]	Marco Manetti
1797	nm0542450	[23631]	Ethan Maniquis
1798	nm0542498	[784167, 774607, 311469]	Mahesh Manjrekar
1799	nm0544279	[24350]	Stephen Manuel
1800	nm0544337	[12609]	Greg Manwaring
1801	nm0544528	[22578]	René Manzor
1802	nm0544828	[714017]	Naël Marandin
1803	nm0545019	[79045]	Jean Marboeuf
1804	nm0545356	[7291, 14765, 896485, 671039, 427348, 40417, 56415]	Olivier Marchal
1805	nm0545382	[1917, 406298, 49001]	Gilles Marchand
1806	nm0545861	[158426]	David Marconi
1807	nm0545876	[8772, 55060, 197563]	Rodolphe Marconi
1808	nm0546008	[107073]	Paula Markovitch
1809	nm0546057	[13255]	Adam Marcus
1810	nm0547456	[160066]	Harriet Marin Jones
1811	nm0548648	[17094]	Goran Markovic
1812	nm0549954	[25795]	Jaime Marques
1813	nm0550059	[284051, 115320]	Vincenzo Marra
1814	nm0550071	[61686, 214099]	Laïla Marrakchi
1815	nm0550938	[385031]	Jamie Marshall
1816	nm0551076	[11880, 13460, 760204, 456740, 23759]	Neil Marshall
1817	nm0551128	[1865, 1904]	Rob Marshall
1818	nm0551217	[451679, 77873, 289153]	Tonie Marshall
1819	nm0551506	[8898, 58429, 326382]	Lucrecia Martel
1820	nm0552565	[397415]	Johnny Martin
1821	nm0552786	[82742]	Michael Martin
1822	nm0553237	[589978, 55424, 325844, 182219]	Pierre-François Martin-Laval
1823	nm0553303	[349, 15339, 21488, 382892, 27143, 111481]	Jacques Martineau
1824	nm0553400	[180440]	Gilles Martinerie
1825	nm0553662	[14172]	Philippe Martinez
1826	nm0554076	[412660]	Marco Martins
1827	nm0554280	[541724, 537880, 56853, 62027]	Mario Martone
1828	nm0554532	[209251]	Manuel Martín Cuenca
1829	nm0554890	[193726]	Juan Martínez Moreno
1830	nm0554920	[554920]	Adolfo Martínez Solares
1831	nm0555549	[253460]	Mike Marvin
1832	nm0556076	[362552, 223988]	Joachim Masannek
1833	nm0556094	[15137, 22843, 75629]	Masayuki
1834	nm0556301	[215521]	Rashid Masharawi
1835	nm0556573	[550476]	Adam Mason
1836	nm0557044	[358905]	Mai Masri
1837	nm0557122	[889829]	Christos Massalas
1838	nm0557218	[82398]	Kim Massee
1839	nm0557267	[61263]	Olivier Masset-Depasse
1840	nm0557501	[927946]	Laetitia Masson
1841	nm0557927	[15767]	Toshio Masuda
1842	nm0557950	[552490]	Shôichi Masuo
1843	nm0558873	[324670]	Nic Mathieu
1844	nm0559535	[11049]	Leiji Matsumoto
1845	nm0560277	[800368, 496283, 67174, 106926, 190754, 193726, 290373, 343737]	Erik Matti
1846	nm0560434	[16137, 537655]	Lorenzo Mattotti
1847	nm0560927	[37680]	J. Stephen Maunder
1848	nm0561879	[409564]	Bradford May
1849	nm0562476	[19203]	Michael Mayer
1850	nm0562645	[9074, 13496, 14396]	Les Mayfield
1851	nm0562775	[368940, 49953]	Mimi Maynard
1852	nm0563220	[60665]	Zola Maseko
1853	nm0563243	[150117]	Dan Mazer
1854	nm0563301	[11918]	Craig Mazin
1855	nm0563440	[848950, 499728, 114535]	Patricia Mazuy
1856	nm0563473	[62024]	Carlo Mazzacurati
1857	nm0563826	[21538]	Cory McAbee
1858	nm0564530	[254251]	Michael McCafferty
1859	nm0564559	[23853]	Valerie McCaffrey
1860	nm0565981	[385893]	Detdrich McClure
1861	nm0566788	[75674]	Mike McCoy
1862	nm0566833	[59387]	Craig McCracken
1863	nm0567620	[67913, 333663]	John Michael McDonagh
1864	nm0569653	[561362]	Jen McGowan
1865	nm0569790	[29339]	Douglas McGrath
1866	nm0569891	[38055]	Tom McGrath
1867	nm0570082	[45881]	Mary McGuckian
1868	nm0570610	[21763]	Christian McIntire
1869	nm0570912	[27581]	Adam McKay
1870	nm0572562	[13022]	Greg McLean
1871	nm0572755	[291547]	Gordon McLennan
1872	nm0573389	[8884]	Gerald McMorrow
1873	nm0573589	[10628]	David McNally
1874	nm0573732	[291851]	Sean McNamara
1875	nm0573796	[16435]	John McNaughton
1876	nm0574625	[752, 497814, 22832, 334074]	James McTeigue
1877	nm0575263	[480647]	Charles de Meaux
1878	nm0575523	[1364, 48650, 94904, 280840]	Julio Medem
1879	nm0575726	[123362]	Juan Carlos Medina
1880	nm0576015	[756499]	Geoff Meed
1881	nm0576298	[13387, 57992, 62835, 82675, 260346, 339095]	Olivier Megaton
