	acteur	liste_films
157	Ab Vegvary	[575076]
158	Aba Koïta	[42949]
159	Abaeté Queiroz	[980180]
160	Abak Safaei-Rad	[915960]
161	Abakar M'Bairo	[186970]
162	Abao Chen	[45484]
163	Abassi Bouhalam	[934752]
164	Abatar Bregonzi	[82799]
165	Abbas	[592875, 69442]
166	Abbas Atto	[592875]
167	Abbas Bakhtiari	[44159]
168	Abbas Mahmood	[1027464]
169	Abbas Tyrewala	[21265]
170	Abbes Zahmani	[13043, 994025, 550721, 347478, 52043, 59062, 167284, 341742]
171	Abbey Abimbola	[514700]
172	Abbey Aziz	[508450]
173	Abbey Hafer	[770684]
174	Abbey Lee	[353491, 76341, 301365]
175	Abbi Butler	[979220, 521639]
176	Abbi Jacobson	[274862]
177	Abbie Cornish	[759507, 347984, 23629, 29963, 97020, 274855]
178	Abby Abadi	[244850]
179	Abby Craden	[500664]
180	Abby Donnelly	[576040]
181	Abby Eiland	[502549]
182	Abby James Witherspoon	[791155]
183	Abby Mukiibi Nkaaga	[515348]
184	Abby Ryder Fortson	[363088, 102899]
185	Abdallah Abouissaba	[97064]
186	Abdallah Ifer	[550721]
187	Abdallah Medhat	[103739]
188	Abdallah Moubarak	[441492, 441492, 441492]
189	Abdallah Uwimana	[81215]
190	Abdel Benchendikh	[661925]
191	Abdel Bendaher	[712158]
192	Abdel Jalil Zerououl	[508892]
193	Abdel-Hafed Benotman	[384212, 47297]
194	Abdeladim Mazouzi	[484638]
195	Abdelah Besseghir	[575554, 136410]
196	Abdelatif Benahmed	[108544]
197	Abdelatif Hwidar	[393520]
198	Abdelaziz Arradi	[65795]
199	Abdelaziz Nsangou	[284342]
200	Abdelaziz Zeghbib	[451996]
201	Abdelghani Kitab	[596876]
202	Abdelhadi Talbi	[468657]
203	Abdelhafid Metalsi	[13507, 13635, 46332]
204	Abdelhak Mrabti	[958147]
205	Abdelhak Swilah	[215960]
206	Abdelhak Zhayra	[49167]
207	Abdelhakim Rachid	[134908, 134908]
208	Abdelhalim Benbachouch	[617200]
209	Abdelhamid Aktouche	[8280]
210	Abdelhamid Nawara	[486114]
211	Abdelhamid Zoughi	[958279]
212	Abdelilah Nadif	[158426]
213	Abdelilah Rachid	[473324, 134908]
214	Abdelkader Affak	[474353]
215	Abdelkader Lofti	[17495, 49167]
216	Abdelkader Secteur	[199914]
217	Abdellah Chakiri	[764393, 377799]
218	Abdellah Didane	[473324, 336805]
219	Abdellah El Yousfi	[560842]
220	Abdellah Khoulalene	[518671]
221	Abdellah Moundy	[13432, 34013, 329809]
222	Abdellah Taïa	[107039]
223	Abdellatif Chaarani	[32616]
224	Abdellatif Chaouqi	[460321]
225	Abdelmajid 'Mickey' Barja	[287611, 336199]
226	Abdelmalik Dhaflaoui	[711017]
227	Abdelmonem Chouayet	[392311, 215034]
228	Abdelmoula Oukhita	[527942]
229	Abdelmounim Snoussi	[958244]
230	Abdelssalem Mezdour	[104234]
231	Abdelsselem Ben Amar	[19026]
232	Abder-Kader Dahou	[101227]
233	Abdeslam Bounouacha	[399248]
234	Abdessalam Hessoun	[284342]
235	Abdi Delgo	[591237]
236	Abdiaziz Hilowle	[85743]
237	Abdol Rahman Karim	[8340]
238	Abdolgani Yousefrazi	[43969]
239	Abdolreza Akbari	[384583]
240	Abdool Lee	[858080]
241	Abdou Balde	[496967]
242	Abdoul Bah	[266062]
243	Abdoul-Karim Konate	[660958, 266062]
244	Abdoulaye Diakhaté	[788935]
245	Abdoulaye Diallo	[462503]
246	Abdoulaye Diop	[515818]
247	Abdoulaye Dramé	[121702]
248	Abdoulaye Komboudri	[442718]
249	Abdouraouf Diallo	[582912]
250	Abdul Alshareef	[294793]
251	Abdul Ayoola	[49014]
252	Abdul Basir Mujahid	[30244]
253	Abdul Ghani	[2702]
254	Abdul Hakim Darwish	[16891]
255	Abdul Hannan	[213435]
256	Abdul Khalim Mamutsiev	[245692]
257	Abdul Quadir Amin	[540612]
258	Abdul Rahman Formoli	[585443]
259	Abdul Salis	[9664]
260	Abdul Satar Suleman	[616819]
261	Abdulah Sissoko	[957606]
262	Abdulaziz Alshehri	[1046157, 659676, 659676]
263	Abdullah	[391955]
264	Abdullah Bakhsh	[336805]
265	Abdullah Bin Haider	[476794]
266	Abdullah Emre Öztürk	[915960]
267	Abdullah Jan Ghaznavi	[600023, 308274]
268	Abdullah Miniawy	[597108]
269	Abdullah Mishref	[366230, 56082]
270	Abdullah Osman	[103640]
271	Abdulrahman Alshibly	[617710]
272	Abdur Arsyad	[1063971]
273	Abduragman Adams	[854467]
274	Abdéramane Abakar	[24171]
275	Abe Forsythe	[158670]
276	Abed Fahed	[521784]
277	Abeer Zeibak Haddad	[358905]
278	Abel Aboualiten	[846969]
279	Abel Ayala	[92597]
280	Abel Folk	[10822]
281	Abel Jafri	[971594, 957604, 407447, 383064, 265228, 81302, 99398]
282	Abel Jeanroy	[8930]
283	Abel Mansouri Asselain	[452188]
284	Abel Mora	[436827]
285	Abel Rodríguez	[26232]
286	Abelardo Jaimes	[200281]
287	Abelkader Djeloulli	[8280]
288	Abena Ayivor	[119698]
289	Abesh Banerjee	[552259]
290	Abha Dhulia	[58725]
291	Abhay Bhargava	[24827, 135199]
292	Abhay Chopra	[46406]
293	Abhay Deol	[14468, 15975, 617385]
294	Abhay S. Tomar	[919336]
295	Abhay Sacchar	[59258]
296	Abhi	[420843]
297	Abhijith U.B.	[862618]
298	Abhilash Chaudhary	[845861, 540612]
299	Abhimanue Kamboj	[475250]
300	Abhimanyu Dasani	[541495]
301	Abhimanyu Singh	[1092689, 926130, 845861, 620814, 592508, 592508, 456218, 412075, 360826, 49028, 55808, 63634, 82909, 101736, 111836, 202616, 208540]
302	Abhinav	[649956, 628577]
303	Abhinav Shukla	[298923]
304	Abhinay Kinger	[66225, 69534]
305	Abhinaya	[410994, 402780, 69597, 86718, 137452, 287986]
306	Abhinaya Krishna	[117085]
307	Abhinayashree	[495503]
308	Abhirami	[678470, 678470, 66340]
309	Abhirami Venkatachalam	[586291]
310	Abhishek Bachchan	[14194, 14394, 17478, 20742, 20968, 965606, 391779, 43410, 44977, 50777, 58302, 63006, 71920, 83382, 101783, 112936, 112936, 277432, 277432]
311	Abhishek Basanth	[735855]
312	Abhishek C	[272420]
313	Abhishek Dubey	[606599]
314	Abhishek Duhan	[542460]
315	Abhishek Ganesh R.	[810190]
316	Abhishek Krishnan	[352025]
317	Abhishek Madrecha	[621003]
318	Abhishek Shankar	[1103963]
319	Abhishek Sharma	[491916]
320	Abhishek Subedi	[494723]
321	Abhishek Vinod	[453068]
322	Abi Casson Thompson	[786573]
323	Abi Hassan	[561295]
324	Abi Sakamoto	[24488]
325	Abid	[85619]
326	Abidin Yerebakan	[50025]
327	Abidine Dioari	[362868]
328	Abidzar Al Ghifari	[775998]
329	Abigael Loma	[846796]
330	Abigail Bianca	[8975]
331	Abigail Breslin	[8390, 80274, 166271, 277558]
332	Abigail Chu	[37707]
333	Abigail Eames	[370992]
334	Abigail Hawk	[797294]
335	Abigail Lowe	[75612]
336	Abigail Spencer	[49849, 59962]
337	Abimana Aryasatya	[683328, 516700, 516700, 471877, 449992, 405040, 388155]
338	Abio Abie	[441503]
339	Abir Bennani	[497766, 69746]
