	id_tmdb	liste_acteurs
25	237	[['Ewan McGregor'], ['Tilda Swinton'], ['Peter Mullan'], ['Emily Mortimer'], ['Jack McElhone'], ['Therese Bradley'], ['Ewan Stewart'], ['Stuart McQuarrie'], ['Pauline Turner'], ['Alan Cooke']]
26	245	[['Hugh Grant'], ['Nicholas Hoult'], ['Toni Collette'], ['Sharon Small'], ['Madison Cook'], ['Jordan Cook'], ['Nicholas Hutchison'], ['Ryan Speechley'], ['Joseph Speechley'], ['Natalia Tena']]
27	246	[['Takeshi Kitano'], ['Takeshi Kitano'], ['Tadanobu Asano'], ['Yui Natsukawa'], ['Michiyo Yasuda'], ['Taka Guadalcanal'], ['Daigorô Tachibana'], ['Yûko Daike'], ['Ittoku Kishibe'], ['Saburô Ishikura'], ['Akira Emoto']]
28	254	[['Naomi Watts'], ['Jack Black'], ['Adrien Brody'], ['Thomas Kretschmann'], ['Colin Hanks'], ['Andy Serkis'], ['Andy Serkis'], ['Evan Parke'], ['Jamie Bell'], ['Lobo Chan'], ['John Sumner']]
29	257	[['Barney Clark'], ['Ben Kingsley'], ['Jeremy Swift'], ['Ian McNeice'], ['Richard Durden'], ['Timothy Bateson'], ['Timothy Bateson'], ['Andy de la Tour'], ['Filip Hes'], ['Andreas Papadopoulos'], ['Laurie Athey']]
30	272	[['Christian Bale'], ['Christian Bale'], ['Michael Caine'], ['Ken Watanabe'], ['Liam Neeson'], ['Katie Holmes'], ['Gary Oldman'], ['Cillian Murphy'], ['Tom Wilkinson'], ['Rutger Hauer'], ['Linus Roache']]
31	277	[['Kate Beckinsale'], ['Scott Speedman'], ['Shane Brolly'], ['Michael Sheen'], ['Bill Nighy'], ['Erwin Leder'], ['Sophia Myles'], ['Robbie Gee'], ['Wentworth Miller'], ['Kevin Grevioux']]
32	285	[['Johnny Depp'], ['Orlando Bloom'], ['Keira Knightley'], ['Geoffrey Rush'], ['Jack Davenport'], ['Bill Nighy'], ['Jonathan Pryce'], ['Lee Arenberg'], ['Mackenzie Crook'], ['Kevin McNally']]
33	296	[['Arnold Schwarzenegger'], ['Nick Stahl'], ['Kristanna Loken'], ['Claire Danes'], ['David Andrews'], ['Mark Famiglietti'], ['Earl Boen'], ['Moira Sinise'], ['Chopper Bernet'], ['Christopher Lawford']]
34	300	[['Gael García Bernal'], ['Charlotte Gainsbourg'], ['Miou-Miou'], ['Alain Chabat'], ['Pierre Vaneck'], ['Emma de Caunes'], ['Aurélia Petit'], ['Sacha Bourdo'], ['Stéphane Metzger'], ['Alain de Moyencourt']]
35	302	[['Charlotte Rampling'], ['Charles Dance'], ['Ludivine Sagnier'], ['Jean-Marie Lamour'], ['Marc Fayolle'], ['Mireille Mossé'], ['Michel Fau'], ['Jean-Claude Lecas'], ['Emilie Gavois-Kahn'], ['Erarde Forestali']]
36	308	[['Bill Murray'], ['Jessica Lange'], ['Sharon Stone'], ['Julie Delpy'], ['Heather Alicia Simms'], ['Brea Frazier'], ['Jarry Fall'], ['Korka Fall'], ['Saul Holland'], ['Zakira Holland']]
37	326	[['Samuel L. Jackson'], ['Julianna Margulies'], ['Nathan Phillips'], ['Rachel Blanchard'], ['Flex Alexander'], ['Kenan Thompson'], ['Keith Dallas'], ['Lin Shaye'], ['Bruce James'], ['Sunny Mabrey']]
38	331	[['Sam Neill'], ['William H. Macy'], ['Téa Leoni'], ['Alessandro Nivola'], ['Trevor Morgan'], ['Michael Jeter'], ['John Diehl'], ['Bruce A. Young'], ['Laura Dern'], ['Taylor Nichols']]
39	337	[['Omar Sharif'], ['Pierre Boulanger'], ['Gilbert Melki'], ['Isabelle Renauld'], ['Lola Naymark'], ['Anne Suarez'], ['Mata Gabin'], ['Céline Samie'], ['Isabelle Adjani'], ['Guillaume Gallienne']]
40	341	[['Harvey Keitel'], ['Emmanuelle Béart'], ['Norman Reedus'], ['Joe Grifasi'], ['Lily Rabe'], ['Kim Director'], ['Brian Tarantina'], ['Patrick Collins'], ['Chuck Cooper'], ['Clem Cheung']]
41	349	[['Gilbert Melki'], ['Valeria Bruni Tedeschi'], ['Sabrina Seyvecou'], ['Romain Torres'], ['Jean-Marc Barr'], ['Jacques Bonnaffé'], ['Edouard Collin'], ['Yannick Baudin'], ['Julien Weber'], ['Sébastien Cormier']]
42	350	[['Anne Hathaway'], ['Meryl Streep'], ['Adrian Grenier'], ['Emily Blunt'], ['Stanley Tucci'], ['Simon Baker'], ['Tracie Thoms'], ['Rich Sommer'], ['Daniel Sunjata'], ['David Marshall Grant']]
43	393	[['Uma Thurman'], ['David Carradine'], ['Michael Madsen'], ['Daryl Hannah'], ['Vivica A. Fox'], ['Ambrosia Kelley'], ['Michael Parks'], ['Michael Parks'], ['James Parks'], ['Jonathan Loughran'], ['Michael Bowen']]
44	395	[['Sanaa Lathan'], ['Lance Henriksen'], ['Raoul Bova'], ['Ewen Bremner'], ['Colin Salmon'], ['Tommy Flanagan'], ['Joseph Rye'], ['Agathe de La Boulaye'], ['Carsten Norgaard'], ['Sam Troughton']]
45	423	[['Adrien Brody'], ['Thomas Kretschmann'], ['Frank Finlay'], ['Emilia Fox'], ['Michal Zebrowski'], ['Ed Stoppard'], ['Maureen Lipman'], ['Jessica Kate Meyer'], ['Julia Rayner'], ['Wanja Mues']]
46	435	[['Dennis Quaid'], ['Jake Gyllenhaal'], ['Emmy Rossum'], ['Dash Mihok'], ['Jay O. Sanders'], ['Sela Ward'], ['Austin Nichols'], ['Arjay Smith'], ['Tamlyn Tomita'], ['Sasha Roiz']]
47	440	[['Reiko Aylesworth'], ['Steven Pasquale'], ['Shareeka Epps'], ['John Ortiz'], ['Johnny Lewis'], ['Ariel Gade'], ['Kristen Hager'], ['Sam Trammell'], ['Robert Joy'], ['David Paetkau']]
48	445	[['Daniel Auteuil'], ['Juliette Binoche'], ['Maurice Bénichou'], ['Annie Girardot'], ['Bernard Le Coq'], ['Walid Afkir'], ['Lester Makedonsky'], ['Daniel Duval'], ['Nathalie Richard'], ['Denis Podalydès']]
49	479	[['Samuel L. Jackson'], ['Vanessa Williams'], ['Christian Bale'], ['Jeffrey Wright'], ['Busta Rhymes'], ['Dan Hedaya'], ['Toni Collette'], ['Richard Roundtree'], ['Ruben Santiago-Hudson'], ['Josef Sommer']]
50	480	[['Naseeruddin Shah'], ['Lillete Dubey'], ['Shefali Shah'], ['Vijay Raaz'], ['Tillotama Shome'], ['Vasundhara Das'], ['Parvin Dabas'], ['Kulbhushan Kharbanda'], ['Kamini Khanna'], ['Rajat Kapoor']]
