director	nombre	primaryName
nm1455707	1	Marcus H. Rosenmüller
nm0405578	3	Marion Hänsel
nm0001149	2	Richard Donner
nm0001490	1	Adrian Lyne
nm0000801	11	Olivier Assayas
nm0041474	1	Frédéric Auburtin
nm0149446	1	Gurinder Chadha
nm0158984	4	Sylvain Chomet
nm0170043	2	Isabel Coixet
nm0000127	1	Wes Craven
nm0190859	2	Alfonso Cuarón
nm0000367	1	Gérard Depardieu
nm0236313	1	Christopher Doyle
nm0481418	1	Richard LaGravenese
nm0622112	4	Vincenzo Natali
nm0668247	1	Alexander Payne
nm0687913	8	Bruno Podalydès
nm0005628	1	Oliver Schmitz
nm0840485	3	Nobuhiro Suwa
nm0858680	1	Daniela Thomas
nm0067457	7	Timur Bekmambetov
nm0000709	2	Robert Zemeckis
nm0170113	1	Harley Cokeliss
nm0170719	1	Nigel Cole
nm0851752	4	Paolo Taviani
nm0851754	2	Vittorio Taviani
nm0004689	3	Frédéric Forestier
nm0486627	2	Thomas Langmann
nm0266777	1	Stefen Fangmeier
nm0339030	7	Paul Greengrass
nm0432040	3	Gérard Jugnot
nm1680298	3	Atiq Rahimi
nm0381273	3	John Herzfeld
nm0499724	1	Michael Lehmann
nm0878638	3	David Twohy
nm0765685	2	Wisit Sasanatieng
nm0001945	3	Claude Berri
nm0006445	3	Éric Rohmer
nm0586281	28	Takashi Miike
nm0149260	4	Alain Chabat
nm0001708	2	Joel Schumacher
nm0659380	4	Danny Pang
nm0161152	5	Oxide Chun Pang
nm0297935	1	Kinji Fukasaku
nm0000123	2	George Clooney
nm1193346	3	Sean Ellis
nm0388198	1	Mike Hodges
nm0000694	8	Wim Wenders
nm0273863	2	Pascale Ferran
nm0001331	2	Todd Haynes
nm0005295	1	Trey Parker
nm0477035	3	Corey Yuen
nm0205157	1	Michael Davis
nm0773418	2	Eric-Emmanuel Schmitt
nm0942504	5	Joe Wright
nm0000916	9	Peter Berg
nm0007144	2	Santosh Sivan
nm0000416	4	Terry Gilliam
nm0231596	1	Andrew Dominik
nm0000602	1	Robert Redford
nm0496312	11	Patrice Leconte
nm0001408	2	Shekhar Kapur
nm0065449	8	Jean Becker
nm0030735	3	Nimród Antal
nm0004675	1	Phil Alden Robinson
nm0471086	1	Marco Kreuzpaintner
nm0001112	2	Andrew Davis
nm0758431	1	Robert Salis
nm0446819	1	Richard Kelly
nm0005421	2	Ron Shelton
nm0001219	2	Gary Fleder
nm0647718	4	Lasse Spang Olsen
nm0088397	4	Bertrand Blier
nm0175775	1	Kerry Conran
nm0522393	4	Nick Love
nm0281598	1	Andrew Fleming
nm0679928	1	Nicolas Philibert
nm0785684	2	Coline Serreau
nm0711840	6	Brett Ratner
nm0477597	1	Dagur Kári
nm0464115	1	Eran Kolirin
nm0774221	1	Gregor Schnitzler
nm0317638	3	Tony Giglio
nm0791672	2	Richard Shepard
nm0229694	2	David Dobkin
nm0348274	2	Sturla Gunnarsson
nm0945724	6	Takashi Yamazaki
nm0056725	6	Christophe Barratier
nm0082094	1	Enki Bilal
nm0001031	6	Claude Chabrol
nm0073322	3	Alain Berbérian
nm0027815	3	Roy Andersson
nm0424800	2	Clark Johnson
nm0457565	10	Ryûhei Kitamura
nm0223359	2	Tom Dey
nm0004380	2	Antoine de Caunes
nm0437526	5	Shûsuke Kaneko
nm0302780	2	Florian Gallenberger
nm1369721	1	Emily Young
nm0001403	2	Neil Jordan
nm1201875	2	Géla Babluani
nm0108069	1	Paul Breuls
nm0592436	2	Brad Mirman
nm0101385	2	Rob Bowman
nm1491603	1	Tony Mitchell
nm0116254	4	Valeria Bruni Tedeschi
nm0311700	1	Shira Geffen
nm0449316	1	Etgar Keret
nm0151540	1	Jay Chandrasekhar
nm0238865	1	Frederik Du Chau
nm0450194	1	Alek Keshishian
nm0253813	3	Ronit Elkabetz
nm1729095	3	Shlomi Elkabetz
nm0759270	6	Pierre Salvadori
nm0954437	3	Ariel Zeitoun
nm0785164	3	Julien Seri
nm0248942	1	Uli Edel
nm0423646	1	Roland Joffé
nm0716257	2	Matt Reeves
nm0378144	3	Jonathan Hensleigh
nm0891554	4	Francis Veber
nm0812626	2	Juan Solanas
nm0545356	7	Olivier Marchal
nm0934483	2	Kurt Wimmer
nm0469694	2	Wayne Kramer
nm0655683	3	José Padilha
nm0957794	2	Erick Zonca
nm0252135	3	Breck Eisner
nm0520485	1	Peter Lord
nm0661910	2	Nick Park
nm0001774	1	Ben Stiller
nm0089940	1	Don Bluth
nm0325776	1	Gary Goldman
nm0871428	2	Pete Travis
nm1862705	1	Hunter Richards
nm0138620	6	Joe Carnahan
nm0442646	1	Gregg Kavet
nm0732165	1	Andy Robin
nm0000230	2	Sylvester Stallone
nm0611683	3	Russell Mulcahy
nm0000338	1	Francis Ford Coppola
nm0726954	5	Eran Riklis
nm1701024	3	Nadine Labaki
nm0601382	5	John Moore
nm0659023	3	Pan Nalin
nm0347473	2	Eric Guirado
nm0000169	2	Tommy Lee Jones
nm0476201	2	Karyn Kusama
nm0200702	8	Dany Boon
nm0758933	6	Jean-Paul Salomé
nm0153263	1	César Charlone
nm0273483	1	Enrique Fernández
nm0069342	2	Véra Belmont
nm0001437	4	Emir Kusturica
nm1061623	4	Philippe Claudel
nm0996471	4	Samuel Benchetrit
nm0315842	2	Bahman Ghobadi
nm0618391	1	Nikolai Müllerschön
nm0951456	5	Zabou Breitman
nm0111845	1	Adam Brooks
nm0583515	1	Dave Meyers
nm0336620	4	F. Gary Gray
nm0001348	2	Werner Herzog
nm1077168	5	Yann Samuell
nm0858525	1	Betty Thomas
nm0003508	2	Michel Blanc
nm0220274	6	Denis Dercourt
nm0006854	2	Roger Spottiswoode
nm0463316	1	Kunal Kohli
nm0905592	3	Jeff Wadlow
nm0438090	1	Asif Kapadia
nm0796117	2	M. Night Shyamalan
nm0537626	2	Jacques Maillot
nm0603628	6	Pierre Morel
nm0635759	1	Stephen Norrington
nm1196794	2	Olivier Van Hoofstadt
nm0545876	3	Rodolphe Marconi
nm0468007	5	Jan Kounen
nm0481044	1	Laurent Lafran
nm0890923	1	Bruno Vatin
nm0815204	6	Paolo Sorrentino
nm0253819	3	Ellory Elkayem
nm0388817	1	Antony Hoffman
nm0001752	5	Steven Soderbergh
nm0535234	1	Ole Christian Madsen
nm0573389	1	Gerald McMorrow
nm0284369	3	Ari Folman
nm0753912	1	Oskar Roehler
nm0633925	1	Marie Noëlle
nm0782266	1	Peter Sehr
nm0221611	9	Arnaud Desplechin
nm0308042	7	Philippe Garrel
nm0551506	3	Lucrecia Martel
nm0201094	9	Jean-Pierre Dardenne
nm0201095	9	Luc Dardenne
nm0800098	3	Claire Simon
nm0149196	4	Nuri Bilge Ceylan
nm0237527	4	Andreas Dresen
nm0352858	5	Joana Hadjithomas
nm0430307	5	Khalil Joreige
nm0767160	3	Jean-Stéphane Sauvaire
nm0220019	2	Raymond Depardon
nm1486975	3	Annemarie Jacir
nm0357584	2	Bent Hamer
nm0136021	3	Leos Carax
nm0094435	2	Bong Joon Ho
nm0778144	3	Pierre Schoeller
nm0275629	1	Glenn Ficarra
nm0720135	1	John Requa
nm1669022	2	John Bonito
nm0724938	8	Jean-François Richet
nm0275250	2	Javier Fesser
nm1272773	6	Prachya Pinkaew
nm1294961	2	Michael Spierig
nm1294962	2	Peter Spierig
nm0000601	1	Harold Ramis
nm1530422	1	Steve Barker
nm0662529	2	Oliver Parker
nm0902939	1	Daisy von Scherler Mayer
nm0001502	1	Luis Mandoki
nm0402365	1	Bruce Hunt
nm0721817	2	Kevin Reynolds
nm0002020	5	Costa-Gavras
nm0562645	3	Les Mayfield
nm0267244	1	Josef Fares
nm0303032	4	George Gallo
nm0617042	1	Mark Mylod
nm0751080	4	Chuck Russell
nm0000750	1	Jon Amiel
nm0440913	3	Mathieu Kassovitz
nm0000682	3	Paul Verhoeven
nm1466691	2	Christian Volckman
nm0718645	1	Ivan Reitman
nm0620576	2	Bharat Nalluri
nm0159507	3	Stephen Chow
nm0001338	2	Brian Helgeland
nm0398185	3	Peter Howitt
nm0651706	2	Mark Osborne
nm0828970	1	John Stevenson
nm0164187	1	Larry Clark
nm1052791	4	Pascal Laugier
nm0001565	2	Mike Newell
nm0864775	14	Johnnie To
nm0906413	5	Ka-Fai Wai
nm0685759	1	Pitof
nm0000343	6	David Cronenberg
nm0510912	7	Justin Lin
nm0006853	1	Tim Hunter
nm0280745	2	Stefan Fjeldmark
nm0597026	2	Jesper Møller
nm0082300	1	Tony Bill
nm0784061	4	Dominic Sena
nm0498991	1	Doug Lefler
nm0155536	2	Andy Cheng
nm0518644	2	Richard Loncraine
nm0340958	3	Alister Grierson
nm0524516	3	Daniele Luchetti
nm0014960	4	Alexandre Aja
nm0452319	1	Beeban Kidron
nm0083348	3	Brad Bird
nm1125131	3	Jean-Baptiste Andrea
nm0193554	1	Vondie Curtis-Hall
nm0200005	1	Lee Daniels
nm0001317	7	Renny Harlin
nm0768249	1	Geoffrey Sax
nm0000108	10	Luc Besson
nm0011950	1	Robert Adetuyi
nm2325065	1	Shane Abbess
nm0000118	1	John Carpenter
nm0788202	1	Adam Shankman
nm0198755	1	Michael Damian
nm0809321	1	Mel Smith
nm0664756	1	John Pasquin
nm0860019	5	Danièle Thompson
nm0121653	1	David J. Burke
nm0347657	1	John Gulager
nm1676223	2	Akiva Schaffer
nm0912224	4	Régis Wargnier
nm0304830	1	Robert Ben Garant
nm0514662	4	Ryan Little
nm1033087	4	Ten Shimoyama
nm0228542	2	Christian Ditter
nm0666806	2	Don Michael Paul
nm0421314	2	Anders Thomas Jensen
nm0337773	2	David Gordon Green
nm0000110	5	Kenneth Branagh
nm0178997	2	Frank Coraci
nm1437277	6	Panna Rittikrai
nm0155598	8	Jingle Ma
nm0580698	2	Isabelle Mergault
nm1016687	9	Laurent Tirard
nm0094726	5	Pascal Bonitzer
nm0336695	1	James Gray
nm0318947	1	Jim Gillespie
nm0006476	1	Paul McGuigan
nm0041161	1	Philip G. Atwell
nm0946327	1	Mennan Yapo
nm0443181	1	Stephen Kay
nm0769405	1	Michael Schaack
nm0312881	2	Toby Genkel
nm0001243	2	William Friedkin
nm0005363	10	Guy Ritchie
nm0609981	8	Emmanuel Mouret
nm0429963	1	Gregor Jordan
nm0074426	2	Bibo Bergeron
nm0421776	1	Vicky Jenson
nm1224299	2	Rob Letterman
nm1076296	2	Louis-Pascal Couvelaire
nm0527261	2	Patrick Lussier
nm0908824	1	Randall Wallace
nm0482681	5	Ringo Lam
nm0908890	1	Tommy Lee Wallace
nm0150906	9	Gordon Chan
nm0127373	1	Louis C.K.
nm0573589	1	David McNally
nm0240797	2	Dennis Dugan
nm1993322	2	Timo Vuorensola
nm0418450	5	Agnès Jaoui
nm0007139	10	Hark Tsui
nm0994538	1	Joseph Kahn
nm0322242	1	Jonathan Glazer
nm0001226	1	James Foley
nm0109359	2	Steven Brill
nm0286975	3	Marc Forster
nm1019493	1	Kevin Donovan
nm0490487	10	Wai Keung Lau
nm0538320	9	Alan Mak
nm0001532	1	John McTiernan
nm0001188	1	Nora Ephron
nm0133899	6	Guillaume Canet
nm0939128	1	James Wong
nm0000091	2	Gérard Pirès
nm0412247	2	Guillaume Ivernel
nm0704588	1	Arthur Qwak
nm1780037	5	Céline Sciamma
nm0435788	1	Tom Kalin
nm1219963	4	David Moreau
nm0658837	2	Xavier Palud
nm0155642	4	Siu-Tung Ching
nm0294379	1	Juan Carlos Fresnadillo
nm0651900	7	Mamoru Oshii
nm0868153	2	Giuseppe Tornatore
nm0899121	3	Thomas Vinterberg
nm0000914	1	Robert Benton
nm0958969	3	Harald Zwart
nm0466349	6	Baltasar Kormákur
nm0951197	11	Kunihiko Yuyama
nm0000780	3	Denys Arcand
nm0632788	1	Daisuke Nishio
nm3252786	1	Hirotoshi Rissen
nm1387613	2	Kazuhisa Takenouchi
nm0559535	1	Leiji Matsumoto
nm1022334	1	Hatsuki Tsuji
nm0000519	3	David Mamet
nm0005139	3	Mike Leigh
nm0614276	1	Geoff Murphy
nm0751221	1	Jay Russell
nm0699932	2	Lucía Puenzo
nm0284774	14	Anne Fontaine
nm0531817	4	Kevin Macdonald
nm0423804	1	Jannik Johansen
nm0065608	1	Walt Becker
nm0514546	2	Dwight H. Little
nm0913860	1	Shin'ichirô Watanabe
nm0645513	2	Tensai Okamura
nm0645657	1	Hiroyuki Okiura
nm1988172	1	Yoshiyuki Takei
nm0716347	5	Nicolas Winding Refn
nm0453518	5	Kim Jee-woon
nm0106230	3	Kevin Bray
nm0001382	2	Peter Hyams
nm0000568	1	Frank Oz
nm1195601	1	Dusan Milic
nm0240995	5	Christian Duguay
nm0745861	1	Mitch Rouse
nm0885249	2	Jean-Marc Vallée
nm1125458	1	Fabrice Canepa
nm1068186	6	M.J. Bassett
nm0000165	6	Ron Howard
nm0674742	3	Jacques Perrin
nm0167384	3	Jacques Cluzaud
nm0213340	1	Michel Debats
nm0917405	7	Apichatpong Weerasethakul
nm0396284	5	Hsiao-Hsien Hou
nm0735872	1	Hugo Rodríguez
nm0220652	1	Dominique Deruddere
nm1065068	1	Chris Delaporte
nm0969927	1	Pascal Pinon
nm1362432	6	Jérôme Salle
nm0711579	2	Pen-Ek Ratanaruang
nm0032925	6	Shinji Aramaki
nm0150802	10	Benny Chan
nm0539803	2	Laurence Malkin
nm0867262	5	Stanley Tong
nm0437625	2	Kang Je-kyu
nm0137228	7	Christian Carion
nm0781842	2	Peter Segal
nm0001681	2	George A. Romero
nm1035719	2	Hitoshi Matsumoto
nm0402995	1	Paul Hunter
nm0015091	3	Serdar Akar
nm1490123	3	James Wan
nm0161717	3	Patrice Chéreau
nm0151125	4	Teddy Chan
nm0551076	5	Neil Marshall
nm0644203	1	Steve Oedekerk
nm0563301	1	Craig Mazin
nm0007082	5	John Stockwell
nm0451884	1	Callie Khouri
nm0939540	2	Andrés Wood
nm0172989	1	Laetitia Colombani
nm0158857	6	Tsai Ming-liang
nm0509028	1	Demian Lichtenstein
nm1050098	7	Joachim Lafosse
nm0004716	1	Darren Aronofsky
nm1462495	6	Rémi Bezançon
nm1147848	4	Frédéric Berthe
nm1396048	1	Dave Filoni
nm0009942	1	Shane Acker
nm0407067	5	Álex de la Iglesia
nm0091076	1	Sergei Bodrov
nm0218022	9	Benoît Delépine
nm1086956	9	Gustave Kervern
nm0090066	1	Reggie Rock Bythewood
nm0063357	5	Anees Bazmee
nm0002700	1	Malcolm D. Lee
nm0000965	4	Danny Boyle
nm0849164	1	Loveleen Tandan
nm0579062	1	Josué Méndez
nm0775573	3	Werner Schroeter
nm0076349	2	Patrick-Mario Bernard
nm0873211	2	Pierre Trividic
nm0314340	1	Haile Gerima
nm1589701	2	Tariq Teguia
nm0851281	1	Patrick Tatopoulos
nm1465130	7	Safy Nebbou
nm0521411	2	Alfred Lot
nm0047049	4	Lionel Baier
nm0064741	6	Xavier Beauvois
nm0504654	1	Jørgen Leth
nm0969427	3	Semih Kaplanoglu
nm0618930	2	Raphaël Nadjari
nm0350168	13	Robert Guédiguian
nm0239001	6	Fabrice du Welz
nm0204884	1	John A. Davis
nm0544337	1	Greg Manwaring
nm0233036	1	Michael Donovan
nm0373798	2	Michael Hegner
nm0125803	1	Bobby Farrelly
nm0268380	1	Peter Farrelly
nm0856803	6	Masaaki Tezuka
nm0648457	3	Kazuki Ômori
nm0774420	6	Frédéric Schoendoerffer
nm0687042	3	Paco Plaza
nm0911075	2	Xiaoshuai Wang
nm1840195	2	Koldo Serra
nm0001252	1	Vincent Gallo
nm0579079	1	Mike Mendez
nm0509852	4	Sébastien Lifshitz
nm0036331	2	Pascal Arnold
nm0000852	2	Jean-Marc Barr
nm0006846	4	Ric Roman Waugh
nm0572562	1	Greg McLean
nm0142286	3	D.J. Caruso
nm0648902	1	Fabien Onteniente
nm1402202	4	Julian Gilbey
nm0591994	1	Lexi Alexander
nm0180912	1	Michael Corrente
nm0831690	1	Charles Stone III
nm0948159	11	Wilson Yip
nm0870204	1	Stuart Townsend
nm0781733	1	Joshua Seftel
nm0604263	2	Bobby Moresco
nm0436284	1	Scott Kalvert
nm1141083	3	Ryan Combs
nm1204568	1	David Von Ancken
nm0546057	1	Adam Marcus
nm0403038	1	Simon Hunter
nm1134029	1	Garth Jennings
nm0962779	1	Yu Suzuki
nm1221634	1	Justin Rhodes
nm0618680	1	Jeffrey Nachmanoff
nm0084114	1	Larry Bishop
nm0019247	2	Tomas Alfredson
nm2376614	6	Alexandre Bustillo
nm2377660	6	Julien Maury
nm0495536	2	Nikolay Lebedev
nm2182866	7	Julien Leclercq
nm0144023	1	Zoe R. Cassavetes
nm0721279	1	Franc. Reyes
nm0576298	6	Olivier Megaton
nm0000816	1	Jon Avnet
nm0072354	3	Djamel Bensalah
nm0201965	2	Damon Dash
nm0078465	4	Julie Bertuccelli
nm0121789	1	Martyn Burke
nm0282425	2	Peter Flinth
nm0474955	1	Roger Kumble
nm0246503	3	Agustín Díaz Yanes
nm0378893	2	Stephen Herek
nm0591171	1	Steve Miner
nm0453720	1	Kim Ui-seok
nm0478172	1	Karsten Kiilerich
nm0000941	1	Kathryn Bigelow
nm0051939	1	Thomas Bangalter
nm0208878	1	Guy-Manuel De Homem-Christo
nm2184596	1	Andrews Jenkins
nm0442241	1	Philip Kaufman
nm0436780	3	Makoto Kamiya
nm0078704	6	Éric Besnard
nm0081433	1	Fabián Bielinsky
nm1333798	3	Mabrouk El Mechri
nm0303377	1	Bénédicte Galup
nm0643664	7	Michel Ocelot
nm0600409	3	Daniel Monzón
nm0099084	1	Patrick Bouchitey
nm0876146	3	Laurent Tuel
nm0000185	4	Dolph Lundgren
nm0002218	5	Claude Miller
nm0243355	5	Albert Dupontel
nm0006939	6	Richard Berry
nm0261181	4	Marc Esposito
nm0362854	2	Philippe Harel
nm0898603	3	Christian Vincent
nm0746162	4	Jean-Paul Rouve
nm0066080	2	Ramzy Bedia
nm0431956	2	Eric Judor
nm1320966	4	Kim Chapiron
nm1288712	4	Cécile Telerman
nm0489309	7	Éric Lartigau
nm0176929	1	Brian W. Cook
nm0297934	2	Kenta Fukasaku
nm0798820	1	Cess Silvera
nm0275698	2	Andy Fickman
nm2947553	1	Na Hong-jin
nm0001093	1	John Dahl
nm1175724	7	Noboru Iguchi
nm0753423	10	Ryoo Seung-wan
nm0601680	1	Nick Moore
nm0518123	1	Julia Loktev
nm1622836	1	Masahiro Andô
nm1159782	3	Seiji Mizushima
nm0607831	1	Koen Mortier
nm0918873	1	Sam Weisman
nm1199954	2	Jeff Renfroe
nm0271815	3	Xiaogang Feng
nm1436693	13	A.R. Murugadoss
nm0019242	4	Daniel Alfredson
nm0425364	14	Jesse V. Johnson
nm0094080	4	Fedor Bondarchuk
nm0653193	1	Joe Otting
nm0112374	1	Nick Broomfield
nm0382072	1	Peter Hewitt
nm0553662	1	Philippe Martinez
nm0605186	1	Anders Morgenthaler
nm1189376	2	Sanjay Gadhvi
nm0000691	1	John Waters
nm0414423	1	Gregory Jacobs
nm0410494	1	James Isaac
nm0523821	2	Olaf Lubaszenko
nm1902232	1	Tony Leondis
nm0610496	2	Allan Moyle
nm0686375	5	Michele Placido
nm0151066	2	Peter Ho-Sun Chan
nm0948145	4	Wai-Man Yip
nm0890060	11	Ram Gopal Varma
nm1448814	3	Alejandro Lozano
nm0404091	1	Francis Huster
nm0494569	1	Eric Le Roch
nm3299329	2	Nicolas Charlet
nm3298144	2	Bruno Lavaine
nm1369708	1	Patrick Gilmore
nm0426333	1	Tim Johnson
nm0699095	5	Martin Provost
nm0745342	1	Hamish Rothwell
nm0847859	1	David E. Talbert
nm0393394	12	Christophe Honoré
nm0847690	3	Yôjirô Takita
nm2067985	1	Sanjay M. Khanduri
nm1578200	1	Neil Thompson
nm0680889	2	William Phillips
nm0496752	8	Daniel Lee
nm0476123	4	Diane Kurys
nm0146991	6	Fred Cavayé
nm0139867	1	Steve Carr
nm1122911	1	Byung-chun Min
nm0900078	2	Adrian Vitoria
nm1195760	1	Damian Nieman
nm2406995	1	Hunter Hill
nm1461981	1	Perry Moore
nm0836430	1	Charles Sturridge
nm0007045	2	Scott Wiper
nm1011749	1	Yann Moix
nm0319624	5	Thomas Gilou
nm0040939	5	Yvan Attal
nm0710919	1	Jean-Paul Rappeneau
nm0898773	2	Thomas Vincent
nm1018426	2	Gonzalo López-Gallego
nm0494069	4	Maïwenn
nm0754256	2	Nicolas Saada
nm0346306	1	Stéphan Guérin-Tillié
nm0320660	1	François Girard
nm0407842	1	Mark Illsley
nm0453754	2	Young-jun Kim
nm0169300	2	Daniel Cohen
nm0372092	2	Ping He
nm0156448	1	Chi Leung 'Jacob' Cheung
nm1110912	10	Soi Cheang
nm1253760	3	Chalerm Wongpim
nm1012501	3	Rupert Wyatt
nm0617130	1	Daniel Myrick
nm0383605	1	Avi Nesher
nm2516860	2	Makoto Bessho
nm4823785	1	Kentarô Mizuno
nm5282535	1	Ken'ichi Shimizu
nm1537069	1	Keiichi Sugiyama
nm2538871	1	Kaoru Suzuki
nm3649405	3	Yukio Takahashi
nm1332052	1	Hitoshi Haga
nm0001460	1	Mimi Leder
nm0001290	1	Richard E. Grant
nm0134811	1	Erik Canuel
nm0099521	4	Bouli Lanners
nm2687285	2	Hiroshi Haraguchi
nm0556094	3	Masayuki
nm0875453	5	Kazuya Tsurumaki
nm0030417	8	Hideaki Anno
nm2032664	11	Kôbun Shizuno
nm0371890	7	Michel Hazanavicius
